loss,lr,epoch
0.687079,0.000100,1
0.330005,0.000100,2
0.280118,0.000100,3
0.273656,0.000100,4
0.270676,0.000100,5
0.268787,0.000100,6
0.267127,0.000100,7
0.266416,0.000100,8
0.265774,0.000100,9
0.265007,0.000100,10
0.260056,0.000030,11
0.260026,0.000030,12
0.259617,0.000030,13
0.259143,0.000030,14
0.259120,0.000030,15
0.258971,0.000030,16
0.258835,0.000030,17
0.259069,0.000030,18
0.258733,0.000030,19
0.258555,0.000030,20
0.257054,0.000009,21
0.256783,0.000009,22
0.256768,0.000009,23
0.256627,0.000009,24
0.256292,0.000009,25
0.256176,0.000009,26
0.256219,0.000009,27
0.256024,0.000009,28
0.256202,0.000009,29
0.256063,0.000009,30
